n,r,m
"(:Shoe {stackHeight: 36mm/28mm,isCarbonPlated: true,name: Endorphin Speed 4,notesShoe: I trained for my most recent marathon with the Endorphin Speed 3. The rebound of the shoe while running is fantastic with this shoe. They continued to stay comfortable as I increased the mileage throughout training.,foamCushioning: PWRRUN PB})",[:HAS_BRAND],"(:Brand {brandName: Saucony,notesBrand: Saucony has been my go-to shoe for a while. I really like the variety of shoes that they have. Starting at an 8mm offset was great for me. Saucony’s cushioning scale goes from 1 to 5, with 1 having less and 5 having the most. Saucony is pretty great with comparing some of their shoes to help you pick which shoe is right for you. A stability shoe from Saucony is Saucony Guide.})"
"(:Shoe {stackHeight: 36mm/28mm,isCarbonPlated: true,name: Endorphin Speed 4,notesShoe: I trained for my most recent marathon with the Endorphin Speed 3. The rebound of the shoe while running is fantastic with this shoe. They continued to stay comfortable as I increased the mileage throughout training.,foamCushioning: PWRRUN PB})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: 3/5})
"(:Shoe {stackHeight: 36mm/28mm,isCarbonPlated: true,name: Endorphin Speed 4,notesShoe: I trained for my most recent marathon with the Endorphin Speed 3. The rebound of the shoe while running is fantastic with this shoe. They continued to stay comfortable as I increased the mileage throughout training.,foamCushioning: PWRRUN PB})",[:HAS_OFFSET],(:Offset {offsetValue: 8mm})
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Pro 4,notesShoe: ,foamCushioning: PWRRUN PB
PWRRUN HG})",[:HAS_BRAND],"(:Brand {brandName: Saucony,notesBrand: Saucony has been my go-to shoe for a while. I really like the variety of shoes that they have. Starting at an 8mm offset was great for me. Saucony’s cushioning scale goes from 1 to 5, with 1 having less and 5 having the most. Saucony is pretty great with comparing some of their shoes to help you pick which shoe is right for you. A stability shoe from Saucony is Saucony Guide.})"
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Pro 4,notesShoe: ,foamCushioning: PWRRUN PB
PWRRUN HG})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: 3/5})
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Pro 4,notesShoe: ,foamCushioning: PWRRUN PB
PWRRUN HG})",[:HAS_OFFSET],(:Offset {offsetValue: 8mm})
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Elite,notesShoe: ,foamCushioning: PWRRUN HG})",[:HAS_BRAND],"(:Brand {brandName: Saucony,notesBrand: Saucony has been my go-to shoe for a while. I really like the variety of shoes that they have. Starting at an 8mm offset was great for me. Saucony’s cushioning scale goes from 1 to 5, with 1 having less and 5 having the most. Saucony is pretty great with comparing some of their shoes to help you pick which shoe is right for you. A stability shoe from Saucony is Saucony Guide.})"
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Elite,notesShoe: ,foamCushioning: PWRRUN HG})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: 4/5})
"(:Shoe {stackHeight: 39.5mm/31.5mm,isCarbonPlated: true,name: Endorphin Elite,notesShoe: ,foamCushioning: PWRRUN HG})",[:HAS_OFFSET],(:Offset {offsetValue: 8mm})
"(:Shoe {stackHeight: 37mm/27mm,isCarbonPlated: false,name: Triumph 22,notesShoe: I had the Triumph 18 and the cushioning on this shoe was so soft. The cushioning is one of my favorites.,foamCushioning: PWRRUN PB})",[:HAS_BRAND],"(:Brand {brandName: Saucony,notesBrand: Saucony has been my go-to shoe for a while. I really like the variety of shoes that they have. Starting at an 8mm offset was great for me. Saucony’s cushioning scale goes from 1 to 5, with 1 having less and 5 having the most. Saucony is pretty great with comparing some of their shoes to help you pick which shoe is right for you. A stability shoe from Saucony is Saucony Guide.})"
